Pašvaldība;Iestādes reģistrācijas Nr.;Iestādes nosaukums;Iestādes veids;Iestādes tips;Pakļautība;Faktiskais dibinātājs;Adreses ATVK kods; Izglītības programmas otrais klasifikācijas līmenis;Izglītības programmas kods;Izglītības programmas nosaukums;1.kursā;2.kursā;3.kursā;4.kursā;Izglītojamo skaits kopā (1.-4.kurss)
RĪGA;3337303585;"Mākslu izglītības kompetences centrs ""Rīgas Dizaina un mākslas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33214051;Koka izstrādājumu dizains;;;;8;8
RĪGA;3337303585;"Mākslu izglītības kompetences centrs ""Rīgas Dizaina un mākslas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33214061;Tekstilizstrādājumu dizains;;;;17;17
RĪGA;3337303585;"Mākslu izglītības kompetences centrs ""Rīgas Dizaina un mākslas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33214071;Metāla izstrādājumu dizains;;;;10;10
RĪGA;3337303585;"Mākslu izglītības kompetences centrs ""Rīgas Dizaina un mākslas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33214081;Keramikas izstrādājumu dizains;;;;10;10
RĪGA;3337303585;"Mākslu izglītības kompetences centrs ""Rīgas Dizaina un mākslas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33214091;Stikla izstrādājumu dizains;;;;8;8
RĪGA;3337303585;"Mākslu izglītības kompetences centrs ""Rīgas Dizaina un mākslas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33214101;Ādas izstrādājumu dizains;;;;8;8
RĪGA;3337303585;"Mākslu izglītības kompetences centrs ""Rīgas Dizaina un mākslas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33214111;Apģērbu dizains;25;24;24;17;90
RĪGA;3337303585;"Mākslu izglītības kompetences centrs ""Rīgas Dizaina un mākslas vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33214151;Produktu dizains;49;41;60;;150
RĪGA;3337303586;"Mākslu izglītības kompetences centrs ""Nacionālā Mākslu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33211011;Mākslas;40;33;33;15;121
RĪGA;3337303586;"Mākslu izglītības kompetences centrs ""Nacionālā Mākslu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33212011;Taustiņinstrumentu spēle;7;4;4;;15
RĪGA;3337303586;"Mākslu izglītības kompetences centrs ""Nacionālā Mākslu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33212021;Stīgu instrumentu spēle;8;7;9;;24
RĪGA;3337303586;"Mākslu izglītības kompetences centrs ""Nacionālā Mākslu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33212031;Pūšaminstrumentu spēle;7;2;3;;12
RĪGA;3337303586;"Mākslu izglītības kompetences centrs ""Nacionālā Mākslu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33212041;Sitaminstrumentu spēle;;1;2;;3
RĪGA;3337303586;"Mākslu izglītības kompetences centrs ""Nacionālā Mākslu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33212051;Diriģēšana;5;2;3;5;15
RĪGA;3337303586;"Mākslu izglītības kompetences centrs ""Nacionālā Mākslu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33212061;Vokālā mūzika;9;8;10;8;35
RĪGA;3337303586;"Mākslu izglītības kompetences centrs ""Nacionālā Mākslu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33212071;Mūzikas vēsture un teorija;1;4;;;5
RĪGA;3337303586;"Mākslu izglītības kompetences centrs ""Nacionālā Mākslu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33212091;Mūzika;9;8;5;4;26
RĪGA;3337303586;"Mākslu izglītības kompetences centrs ""Nacionālā Mākslu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33212101;Deja;17;14;15;;46
RĪGA;3337303586;"Mākslu izglītības kompetences centrs ""Nacionālā Mākslu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33213011;Audiovizuālā māksla un tehnoloģijas;;;;2;2
RĪGA;3337303586;"Mākslu izglītības kompetences centrs ""Nacionālā Mākslu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;33;33214121;Multimediju dizains;;;;21;21
RĪGA;3337303586;"Mākslu izglītības kompetences centrs ""Nacionālā Mākslu vidusskola""";Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Kultūras ministrija; Latvijas Republikas Kultūras ministrija;001000;35b;35b212101;Deja;;;1;;1
RĪGA;3397001284;Rīgas Celtniecības koledža;Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33211031;Restaurācija;20;18;14;12;64
RĪGA;3397001284;Rīgas Celtniecības koledža;Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33581011;Arhitektūra;52;47;50;61;210
RĪGA;3397001284;Rīgas Celtniecības koledža;Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33582011;Būvdarbi;25;14;18;18;75
RĪGA;3397001284;Rīgas Celtniecības koledža;Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33582021;Būvniecība;45;39;38;22;144
RĪGA;3397001284;Rīgas Celtniecības koledža;Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33582031;Siltuma, gāzes un ūdens tehnoloģija;48;23;18;14;103
RĪGA;3397002057;Rīgas Tehniskā koledža;Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33346011;Administratīvie un sekretāra pakalpojumi;;;;12;12
RĪGA;3397002057;Rīgas Tehniskā koledža;Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33483011;Datorsistēmas, datubāzes un datortīkli;49;47;44;41;181
RĪGA;3397002057;Rīgas Tehniskā koledža;Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33484011;Programmēšana;57;59;56;41;213
RĪGA;3397002057;Rīgas Tehniskā koledža;Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33521011;Metālapstrāde;20;10;8;7;45
RĪGA;3397002057;Rīgas Tehniskā koledža;Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33521021;Inženiermehānika;;;;7;7
RĪGA;3397002057;Rīgas Tehniskā koledža;Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33521021;Inženiermehānika ;13;13;16;;42
RĪGA;3397002057;Rīgas Tehniskā koledža;Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33521061;Mehatronika;27;29;24;17;97
RĪGA;3397002057;Rīgas Tehniskā koledža;Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33522011;Enerģētika un elektrotehnika;28;30;16;16;90
RĪGA;3397002057;Rīgas Tehniskā koledža;Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33522061;Siltumenerģētika;35;19;;;54
RĪGA;3397002057;Rīgas Tehniskā koledža;Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33523021;Elektronika;24;21;14;18;77
RĪGA;3397002057;Rīgas Tehniskā koledža;Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33523031;Telekomunikācijas;20;16;9;10;55
RĪGA;3397002057;Rīgas Tehniskā koledža;Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33525011;Autotransports;69;46;44;37;196
RĪGA;3397002057;Rīgas Tehniskā koledža;Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33543041;Kokizstrādājumu izgatavošana;22;14;7;6;49
RĪGA;3397002057;Rīgas Tehniskā koledža;Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;001000;33;33840111;Loģistika;28;26;23;18;95
RĪGA;3397002593;"Latvijas Universitātes aģentūra ""Latvijas Universitātes Rīgas 1. medicīnas koledža""";Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Latvijas Universitāte;001000;32a;32a723001;Māszinības;29;;;;29
RĪGA;3397002593;"Latvijas Universitātes aģentūra ""Latvijas Universitātes Rīgas 1. medicīnas koledža""";Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Latvijas Universitāte;001000;32a;32a764011;Sociālā aprūpe;24;;;;24
RĪGA;3397002593;"Latvijas Universitātes aģentūra ""Latvijas Universitātes Rīgas 1. medicīnas koledža""";Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Latvijas Universitāte;001000;35a;35a723001;Māszinības;75;;;;75
RĪGA;3397002593;"Latvijas Universitātes aģentūra ""Latvijas Universitātes Rīgas 1. medicīnas koledža""";Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Latvijas Universitāte;001000;35a;35a764011;Sociālā aprūpe;24;;;;24
RĪGA;3397002593;"Latvijas Universitātes aģentūra ""Latvijas Universitātes Rīgas 1. medicīnas koledža""";Augstākās izglītības iestāde;Koledža;Izglītības un zinātnes ministrija; Latvijas Universitāte;001000;35b;35b724001;Zobārstniecība;116;84;19;;219
RĪGA;3397502629;Valsts policijas koledža;Augstākās izglītības iestāde;Koledža;Iekšlietu ministrija; Latvijas Republikas Iekšlietu ministrija;001000;35a;35a861041;Policijas darbs;21;;;;21
RĪGA;3397702502;Rīgas Stradiņa universitātes Sarkanā Krusta medicīnas koledža;Augstākās izglītības iestāde;Koledža;Veselības ministrija; Rīgas Stradiņa universitāte;001000;32a;32a723001;Māszinības;31;;;;31
RĪGA;3397702502;Rīgas Stradiņa universitātes Sarkanā Krusta medicīnas koledža;Augstākās izglītības iestāde;Koledža;Veselības ministrija; Rīgas Stradiņa universitāte;001000;35a;35a723001;Māszinības;85;;;;85
RĪGA;3397702502;Rīgas Stradiņa universitātes Sarkanā Krusta medicīnas koledža;Augstākās izglītības iestāde;Koledža;Veselības ministrija; Rīgas Stradiņa universitāte;001000;35b;35b724001;Zobārstniecība;37;28;;;65
SALDUS NOVADS;4136003576;Saldus tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;046210;33;33483011;Datorsistēmas, datubāzes un datortīkli;12;14;7;20;53
SALDUS NOVADS;4136003576;Saldus tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;046210;33;33484011;Programmēšana;14;15;20;11;60
SALDUS NOVADS;4136003576;Saldus tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;046210;33;33521031;Inženiertehnika, mehānika un mašīnbūves tehnoloģija;17;14;11;7;49
SALDUS NOVADS;4136003576;Saldus tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;046210;33;33582011;Būvdarbi;;6;;;6
SALDUS NOVADS;4136003576;Saldus tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;046210;33;33582021;Būvniecība;33;32;26;28;119
SALDUS NOVADS;4136003576;Saldus tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;046210;33;33811021;Ēdināšanas pakalpojumi;12;7;7;7;33
SALDUS NOVADS;4136003576;Saldus tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;046210;33;33811031;Viesnīcu pakalpojumi;14;11;7;8;40
SALDUS NOVADS;4136003576;Saldus tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;046210;33;33815001;Skaistumkopšanas pakalpojumi;;;;7;7
SALDUS NOVADS;4136003576;Saldus tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;046210;33;33815021;Frizieru pakalpojumi;28;;24;16;68
SALDUS NOVADS;4136003576;Saldus tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;046210;33;33861011;Civilā drošība un aizsardzība;26;22;17;11;76
SALDUS NOVADS;4136003576;Saldus tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;046210;33;33861081;Ugunsdrošība un ugunsdzēsība;51;37;40;35;163
SMILTENES NOVADS;4436003577;Smiltenes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;049500;22;22543041;Kokizstrādājumu izgatavošana;10;8;;;18
SMILTENES NOVADS;4436003577;Smiltenes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;049500;32;32542021;Šūto izstrādājumu ražošanas tehnoloģija;10;8;;;18
SMILTENES NOVADS;4436003577;Smiltenes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;049500;32;32543041;Kokizstrādājumu izgatavošana;;9;;;9
SMILTENES NOVADS;4436003577;Smiltenes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;049500;32;32546001;Ādas apstrādes tehnoloģijas un izstrādājumu izgatavošana;;;8;;8
SMILTENES NOVADS;4436003577;Smiltenes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;049500;32;32582011;Būvdarbi;;8;8;;16
SMILTENES NOVADS;4436003577;Smiltenes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;049500;32;32622001;Dārzkopība;10;;9;;19
SMILTENES NOVADS;4436003577;Smiltenes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;049500;32;32811021;Ēdināšanas pakalpojumi;10;10;;;20
SMILTENES NOVADS;4436003577;Smiltenes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;049500;33;33525011;Autotransports;;;;16;16
SMILTENES NOVADS;4436003577;Smiltenes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;049500;33;33542021;Šūto izstrādājumu ražošanas tehnoloģija;10;;;;10
SMILTENES NOVADS;4436003577;Smiltenes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;049500;33;33543041;Kokizstrādājumu izgatavošana;8;;;;8
SMILTENES NOVADS;4436003577;Smiltenes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;049500;33;33582021;Būvniecība;75;55;44;35;209
SMILTENES NOVADS;4436003577;Smiltenes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;049500;33;33621041;Lopkopība;10;7;2;7;26
SMILTENES NOVADS;4436003577;Smiltenes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;049500;33;33640011;Veterinārmedicīna;49;44;41;34;168
SMILTENES NOVADS;4436003577;Smiltenes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;049500;33;33811021;Ēdināšanas pakalpojumi;29;21;13;17;80
SMILTENES NOVADS;4436003577;Smiltenes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;049500;33;33811031;Viesnīcu pakalpojumi;25;13;16;15;69
SMILTENES NOVADS;4436003577;Smiltenes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;049500;35b;35b582021;Būvniecība;7;;;;7
SMILTENES NOVADS;4436003577;Smiltenes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;049500;35b;35b640011;Veterinārmedicīna;9;;;;9
SMILTENES NOVADS;4436003577;Smiltenes tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;049500;35b;35b640013;Veterinārmedicīna;29;;;;29
TUKUMA NOVADS;4135403619;Pulkveža Oskara Kalpaka profesionālā vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Profesionālā vidusskola;Aizsardzības ministrija; Aizsardzības ministrija;052200;33;33863001;Valsts aizsardzība;28;38;27;;93
TUKUMA NOVADS;4136003568;Kandavas Lauksaimniecības tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;052200;32;32543041;Kokizstrādājumu izgatavošana;7;5;5;;17
TUKUMA NOVADS;4136003568;Kandavas Lauksaimniecības tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;052200;32;32811021;Ēdināšanas pakalpojumi;7;6;5;;18
TUKUMA NOVADS;4136003568;Kandavas Lauksaimniecības tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;052200;33;33341021;Komerczinības;12;8;;;20
TUKUMA NOVADS;4136003568;Kandavas Lauksaimniecības tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;052200;33;33483011;Datorsistēmas, datubāzes un datortīkli;11;17;7;7;42
TUKUMA NOVADS;4136003568;Kandavas Lauksaimniecības tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;052200;33;33522011;Enerģētika un elektrotehnika;25;11;6;5;47
TUKUMA NOVADS;4136003568;Kandavas Lauksaimniecības tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;052200;33;33525001;Mašīnzinības;15;12;;;27
TUKUMA NOVADS;4136003568;Kandavas Lauksaimniecības tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;052200;33;33525011;Autotransports;24;20;23;31;98
TUKUMA NOVADS;4136003568;Kandavas Lauksaimniecības tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;052200;33;33621001;Lauksaimniecība;62;59;48;26;195
TUKUMA NOVADS;4136003568;Kandavas Lauksaimniecības tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;052200;33;33621011;Augkopība;9;6;;;15
TUKUMA NOVADS;4136003568;Kandavas Lauksaimniecības tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;052200;33;33811021;Ēdināšanas pakalpojumi;34;26;35;12;107
TUKUMA NOVADS;4136003568;Kandavas Lauksaimniecības tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;052200;33;33811031;Viesnīcu pakalpojumi;11;12;9;9;41
TUKUMA NOVADS;4136003568;Kandavas Lauksaimniecības tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;052200;35b;35b621003;Lauksaimniecība;42;15;;;57
TUKUMA NOVADS;4136003568;Kandavas Lauksaimniecības tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;052200;35b;35b621013;Augkopība;29;;;;29
VALMIERAS NOVADS;2536003578;Valmieras tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;054010;33;33344021;Grāmatvedība;23;16;13;12;64
VALMIERAS NOVADS;2536003578;Valmieras tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;054010;33;33346011;Administratīvie un sekretāra pakalpojumi;10;11;24;8;53
VALMIERAS NOVADS;2536003578;Valmieras tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;054010;33;33484011;Programmēšana;53;41;34;29;157
VALMIERAS NOVADS;2536003578;Valmieras tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;054010;33;33521011;Metālapstrāde;13;;;6;19
VALMIERAS NOVADS;2536003578;Valmieras tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;054010;33;33521031;Inženiertehnika, mehānika un mašīnbūves tehnoloģija;22;13;15;;50
VALMIERAS NOVADS;2536003578;Valmieras tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;054010;33;33521061;Mehatronika;23;13;7;11;54
VALMIERAS NOVADS;2536003578;Valmieras tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;054010;33;33522011;Enerģētika un elektrotehnika;14;9;;;23
VALMIERAS NOVADS;2536003578;Valmieras tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;054010;33;33541011;Pārtikas produktu tehnoloģija;14;11;6;4;35
VALMIERAS NOVADS;2536003578;Valmieras tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;054010;33;33811021;Ēdināšanas pakalpojumi;14;10;10;9;43
VALMIERAS NOVADS;2536003578;Valmieras tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;054010;33;33811041;Restorānu pakalpojumi;9;8;7;6;30
VALMIERAS NOVADS;2536003578;Valmieras tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;054010;33;33840111;Loģistika;25;28;25;15;93
VALMIERAS NOVADS;2537903643;Valmieras Dizaina un mākslas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Valmieras novada pašvaldība;054010;33;33214011;Komunikācijas dizains;21;22;17;;60
VALMIERAS NOVADS;2537903643;Valmieras Dizaina un mākslas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Valmieras novada pašvaldība;054010;33;33214031;Interjera dizains;12;10;9;11;42
VALMIERAS NOVADS;2537903643;Valmieras Dizaina un mākslas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Valmieras novada pašvaldība;054010;33;33214041;Reklāmas dizains;;;;7;7
VALMIERAS NOVADS;2537903643;Valmieras Dizaina un mākslas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Valmieras novada pašvaldība;054010;33;33214111;Apģērbu dizains;11;13;6;2;32
VALMIERAS NOVADS;2537903643;Valmieras Dizaina un mākslas vidusskola;Profesionālās pamata un vidējās izglītības iestāde;Mākslu izglītības kompetences centrs;Pašvaldība ; Valmieras novada pašvaldība;054010;33;33214121;Multimediju dizains;;;;18;18
VENTSPILS;3236003579;Ventspils tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;007000;32a;32a521011;Metālapstrāde;20;;;;20
VENTSPILS;3236003579;Ventspils tehnikums;Profesionālās pamata un vidējās izglītības iestāde;Tehnikums;Izglītības un zinātnes ministrija; Izglītības un zinātnes ministrija;007000;33;33483011;Datorsistēmas, datubāzes un datortīkli;25;27;25;13;90
